Starred,"[datetime.datetime(2017, 9, 19, 12, 11, 9, tzinfo=datetime.timezone(datetime.timedelta(days=-1, seconds=72000)))]"
Releases,
Taggers,
Reactions,"[datetime.datetime(2017, 6, 18, 9, 42, 32, tzinfo=datetime.timezone(datetime.timedelta(days=-1, seconds=72000))), datetime.datetime(2017, 6, 20, 13, 13, 32, tzinfo=datetime.timezone(datetime.timedelta(days=-1, seconds=72000))), datetime.datetime(2017, 6, 21, 6, 35, 24, tzinfo=datetime.timezone(datetime.timedelta(days=-1, seconds=72000))), datetime.datetime(2017, 12, 11, 10, 49, 58, tzinfo=datetime.timezone(datetime.timedelta(days=-1, seconds=75600)))]"
Watcher,False
AssigneeIssues,False
AuthorIssue,"[datetime.datetime(2018, 1, 25, 14, 44, 21, tzinfo=datetime.timezone(datetime.timedelta(days=-1, seconds=75600))), datetime.datetime(2018, 2, 14, 17, 2, 29, tzinfo=datetime.timezone(datetime.timedelta(days=-1, seconds=75600)))]"
EditorIssue,
ParticipantIssue,True
AssigneePullRequest,False
AuthorPullRequest,
EditorPullRequest,
ParticipantPullRequest,False
Merged,
SuggestedReviewer,False
